SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Stranger Things,1,1,The Vanishing of Will Byers,2016-07-15
,1,2,The Weirdo on Maple Street,2016-07-15
Stranger Things,one,3.5,Holly, Jolly,2016-07-15
The Office,2,,,not a date
 Breaking Bad , 1,1,Pilot,Unknown
breaking bad,1,1,pilot,2008-01-20
BREAKING BAD,1,1,Pilot Alternate,2008-01-20
The Mandalorian,unknown,5,The Gunslinger,Unknown
the mandalorian,-3,5,the gunslinger,2019-12-06
Black Mirror,3,00,Nosedive,2016-10-21
 black mirror ,3,text,nosedive,Unknown
Fargo,-2, 3.14 ,The Crocodile's Dilemma,04/15/2014
Fargo,1,2,The Rooster Prince,2022-40-99
Succession,1,1, ,2018-06-03
